ChEMBL ID,Name,SMILES
CHEMBL2024584,AFLAQUINOLONE G,O=C1Nc2ccccc2[C@@](O)(c2ccccc2)[C@H]1O
CHEMBL1813347,INUROYLEANOL,COc1c(O)c2c(c(O)c1C(C)C)C(=O)C[C@H]1C(C)(C)CCC[C@]21C
CHEMBL258765,FASCAPLYSIN CHLORIDE,O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21.[Cl-]
CHEMBL3185422,IPCONAZOLE,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
CHEMBL3085483,ETOXADROL HYDROCHLORIDE,CC[C@]1(c2ccccc2)OC[C@H]([C@@H]2CCCCN2)O1.Cl
CHEMBL2106569,DIPIPROVERINE HYDROCHLORIDE,Cl.O=C(OCCN1CCCCC1)C(c1ccccc1)N1CCCCC1
CHEMBL417975,SEZOLAMIDE,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL1092065,ARAURIDINE,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
CHEMBL298312,METACRESOL,Cc1cccc(O)c1
CHEMBL1824862,INFLATIN C,COc1cc(=O)oc2c1[C@H](O)O[C@@H](C)[C@H]2C
CHEMBL2103771,GLYMIDINE SODIUM,COCCOc1cnc([N-]S(=O)(=O)c2ccccc2)nc1.[Na+]
CHEMBL1773680,MARINOQUINOLINE D,Oc1ccc(Cc2nc3ccccc3c3cc[nH]c23)cc1
CHEMBL1080425,MOLLICELLIN N,Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(O)c3c(c(C)c1O2)C(=O)CC(C)(C)O3
CHEMBL465847,CITRUSININE-II,COc1c(O)cc(O)c2c(=O)c3cccc(O)c3n(C)c12
CHEMBL2071413,BEILSCHMIEDIC ACID A,CCCCCCCC[C@@H]1[C@H]2C=C[C@H]3C(C(=O)O)=C[C@H](O)[C@@H]4C[C@@H]1[C@@H]2[C@H]43
CHEMBL2071414,BEILSCHMIEDIC ACID C,CCCCCCCC[C@@H]1[C@H]2C=C[C@H]3C(C(=O)O)=C[C@@H](O)[C@@H]4C[C@@H]1[C@@H]2[C@H]43
CHEMBL17594,QUINIZARIN,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21
CHEMBL55612,NORVALINE,CCC[C@H](N)C(=O)O
